,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,350.0
10,700.0
11,1050.0
12,350.0
13,350.0
14,350.0
15,0.0
16,350.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1050.0
10,700.0
11,1050.0
12,350.0
13,700.0
14,350.0
15,700.0
16,700.0
17,700.0
18,350.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,350.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,700.0
11,1050.0
12,700.0
13,0.0
14,700.0
15,0.0
16,700.0
17,1050.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,350.0
11,0.0
12,700.0
13,350.0
14,1050.0
15,350.0
16,700.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,0.0
11,350.0
12,350.0
13,350.0
14,350.0
15,0.0
16,700.0
17,1050.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1050.0
9,350.0
10,700.0
11,700.0
12,350.0
13,350.0
14,0.0
15,700.0
16,1050.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,350.0
7,0.0
8,350.0
9,0.0
10,700.0
11,350.0
12,0.0
13,0.0
14,700.0
15,1050.0
16,350.0
17,1050.0
18,0.0
19,700.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,350.0
10,1050.0
11,0.0
12,350.0
13,350.0
14,700.0
15,700.0
16,1050.0
17,0.0
18,350.0
19,0.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,700.0
11,350.0
12,0.0
13,350.0
14,0.0
15,0.0
16,700.0
17,350.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,700.0
11,350.0
12,350.0
13,700.0
14,350.0
15,0.0
16,0.0
17,0.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,700.0
9,350.0
10,700.0
11,700.0
12,0.0
13,0.0
14,350.0
15,350.0
16,700.0
17,0.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,350.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,350.0
10,0.0
11,0.0
12,0.0
13,350.0
14,350.0
15,0.0
16,0.0
17,350.0
18,1050.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,0.0
12,700.0
13,0.0
14,0.0
15,350.0
16,700.0
17,350.0
18,350.0
19,350.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,700.0
10,700.0
11,1050.0
12,350.0
13,350.0
14,350.0
15,1050.0
16,700.0
17,350.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,0.0
9,350.0
10,350.0
11,1050.0
12,700.0
13,350.0
14,0.0
15,700.0
16,350.0
17,350.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,700.0
10,1050.0
11,700.0
12,700.0
13,0.0
14,0.0
15,0.0
16,700.0
17,1400.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,0.0
10,350.0
11,0.0
12,700.0
13,0.0
14,700.0
15,700.0
16,350.0
17,350.0
18,0.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1050.0
11,350.0
12,700.0
13,350.0
14,700.0
15,350.0
16,0.0
17,700.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,0.0
10,0.0
11,700.0
12,1050.0
13,350.0
14,700.0
15,350.0
16,700.0
17,350.0
18,350.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,350.0
11,0.0
12,350.0
13,0.0
14,350.0
15,1050.0
16,1050.0
17,0.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,700.0
10,700.0
11,350.0
12,700.0
13,350.0
14,1050.0
15,350.0
16,700.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,0.0
11,700.0
12,350.0
13,0.0
14,350.0
15,1050.0
16,350.0
17,1050.0
18,0.0
19,350.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,0.0
10,1050.0
11,350.0
12,700.0
13,700.0
14,700.0
15,350.0
16,1050.0
17,700.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,350.0
11,350.0
12,1050.0
13,0.0
14,700.0
15,700.0
16,700.0
17,700.0
18,0.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,350.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,700.0
11,350.0
12,350.0
13,0.0
14,1050.0
15,350.0
16,700.0
17,700.0
18,0.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,1050.0
11,0.0
12,700.0
13,700.0
14,350.0
15,700.0
16,700.0
17,700.0
18,0.0
19,0.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,0.0
9,350.0
10,700.0
11,1050.0
12,700.0
13,350.0
14,350.0
15,350.0
16,0.0
17,1050.0
18,700.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,0.0
10,350.0
11,700.0
12,0.0
13,700.0
14,700.0
15,700.0
16,700.0
17,700.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,350.0
5,0.0
6,0.0
7,0.0
8,700.0
9,350.0
10,350.0
11,350.0
12,0.0
13,350.0
14,350.0
15,350.0
16,700.0
17,350.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,700.0
11,350.0
12,1050.0
13,350.0
14,350.0
15,350.0
16,700.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,350.0
23,0.0
0,350.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,350.0
10,0.0
11,350.0
12,350.0
13,350.0
14,1050.0
15,1050.0
16,350.0
17,0.0
18,0.0
19,350.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,350.0
10,700.0
11,700.0
12,350.0
13,0.0
14,700.0
15,1050.0
16,350.0
17,350.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,0.0
12,0.0
13,0.0
14,350.0
15,350.0
16,700.0
17,350.0
18,350.0
19,0.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1050.0
9,350.0
10,700.0
11,350.0
12,0.0
13,700.0
14,350.0
15,0.0
16,1400.0
17,1050.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,350.0
9,0.0
10,700.0
11,350.0
12,700.0
13,0.0
14,350.0
15,350.0
16,700.0
17,700.0
18,0.0
19,1050.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,0.0
12,350.0
13,350.0
14,700.0
15,1050.0
16,0.0
17,700.0
18,700.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,350.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,350.0
10,700.0
11,700.0
12,1050.0
13,350.0
14,700.0
15,350.0
16,350.0
17,350.0
18,350.0
19,350.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,350.0
5,0.0
6,0.0
7,350.0
8,1050.0
9,700.0
10,700.0
11,0.0
12,0.0
13,350.0
14,350.0
15,700.0
16,0.0
17,1400.0
18,0.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,350.0
11,1050.0
12,350.0
13,350.0
14,700.0
15,1400.0
16,0.0
17,700.0
18,0.0
19,0.0
20,350.0
21,0.0
22,0.0
23,350.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,0.0
11,350.0
12,0.0
13,700.0
14,350.0
15,1050.0
16,0.0
17,700.0
18,700.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,350.0
7,0.0
8,0.0
9,700.0
10,1050.0
11,350.0
12,0.0
13,350.0
14,1050.0
15,350.0
16,700.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,350.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,0.0
12,350.0
13,0.0
14,0.0
15,1050.0
16,700.0
17,350.0
18,0.0
19,0.0
20,0.0
21,700.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,1050.0
11,0.0
12,0.0
13,0.0
14,700.0
15,700.0
16,700.0
17,700.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,350.0
12,700.0
13,0.0
14,700.0
15,350.0
16,350.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,350.0
7,0.0
8,0.0
9,700.0
10,1050.0
11,700.0
12,700.0
13,350.0
14,700.0
15,350.0
16,700.0
17,0.0
18,0.0
19,350.0
20,0.0
21,0.0
22,350.0
23,350.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,700.0
10,0.0
11,700.0
12,0.0
13,0.0
14,700.0
15,0.0
16,350.0
17,0.0
18,0.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,1050.0
10,350.0
11,350.0
12,350.0
13,700.0
14,350.0
15,350.0
16,1050.0
17,350.0
18,0.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,350.0
10,700.0
11,350.0
12,0.0
13,700.0
14,700.0
15,350.0
16,1050.0
17,350.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,0.0
9,350.0
10,700.0
11,0.0
12,350.0
13,1050.0
14,700.0
15,0.0
16,350.0
17,350.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,1400.0
11,0.0
12,0.0
13,0.0
14,700.0
15,350.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,0.0
9,0.0
10,350.0
11,0.0
12,350.0
13,0.0
14,1050.0
15,350.0
16,350.0
17,1400.0
18,350.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,0.0
10,350.0
11,350.0
12,700.0
13,350.0
14,0.0
15,350.0
16,1050.0
17,350.0
18,0.0
19,350.0
20,0.0
21,0.0
22,350.0
23,350.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,350.0
12,350.0
13,350.0
14,700.0
15,350.0
16,0.0
17,350.0
18,350.0
19,350.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,350.0
9,700.0
10,350.0
11,700.0
12,0.0
13,1050.0
14,350.0
15,1050.0
16,700.0
17,700.0
18,350.0
19,0.0
20,350.0
21,0.0
22,0.0
23,350.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,1050.0
12,0.0
13,0.0
14,700.0
15,700.0
16,0.0
17,700.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,700.0
11,350.0
12,0.0
13,350.0
14,350.0
15,350.0
16,350.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1050.0
10,700.0
11,1400.0
12,0.0
13,0.0
14,350.0
15,350.0
16,1050.0
17,1050.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,350.0
10,1050.0
11,700.0
12,0.0
13,350.0
14,1400.0
15,700.0
16,1050.0
17,1400.0
18,0.0
19,350.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,0.0
11,0.0
12,350.0
13,700.0
14,350.0
15,1050.0
16,350.0
17,0.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,1050.0
12,350.0
13,0.0
14,350.0
15,350.0
16,350.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,700.0
11,700.0
12,350.0
13,0.0
14,350.0
15,350.0
16,700.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,350.0
11,350.0
12,0.0
13,700.0
14,350.0
15,350.0
16,700.0
17,0.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,700.0
10,700.0
11,350.0
12,350.0
13,0.0
14,0.0
15,0.0
16,1050.0
17,700.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,1050.0
10,1050.0
11,0.0
12,350.0
13,0.0
14,350.0
15,350.0
16,700.0
17,350.0
18,0.0
19,350.0
20,0.0
21,700.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,700.0
10,350.0
11,1050.0
12,350.0
13,0.0
14,350.0
15,700.0
16,700.0
17,350.0
18,0.0
19,350.0
20,350.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,350.0
10,350.0
11,1050.0
12,0.0
13,350.0
14,350.0
15,350.0
16,350.0
17,350.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,700.0
11,350.0
12,350.0
13,0.0
14,700.0
15,1050.0
16,0.0
17,700.0
18,350.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,700.0
9,350.0
10,700.0
11,700.0
12,350.0
13,700.0
14,1050.0
15,1050.0
16,350.0
17,1050.0
18,350.0
19,350.0
20,350.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,350.0
10,350.0
11,350.0
12,700.0
13,350.0
14,700.0
15,1050.0
16,350.0
17,1050.0
18,350.0
19,0.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,350.0
9,350.0
10,1400.0
11,700.0
12,700.0
13,350.0
14,1050.0
15,350.0
16,350.0
17,700.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,0.0
10,350.0
11,0.0
12,0.0
13,350.0
14,350.0
15,350.0
16,700.0
17,350.0
18,350.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,0.0
9,700.0
10,0.0
11,1050.0
12,700.0
13,0.0
14,700.0
15,350.0
16,700.0
17,350.0
18,700.0
19,350.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1050.0
9,350.0
10,350.0
11,350.0
12,350.0
13,0.0
14,700.0
15,1050.0
16,1050.0
17,700.0
18,0.0
19,350.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,0.0
10,350.0
11,350.0
12,350.0
13,0.0
14,700.0
15,700.0
16,700.0
17,350.0
18,0.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,350.0
7,0.0
8,350.0
9,0.0
10,700.0
11,700.0
12,700.0
13,700.0
14,700.0
15,700.0
16,700.0
17,700.0
18,700.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1050.0
11,1400.0
12,350.0
13,350.0
14,350.0
15,350.0
16,700.0
17,350.0
18,0.0
19,350.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,0.0
10,700.0
11,700.0
12,350.0
13,700.0
14,350.0
15,0.0
16,350.0
17,700.0
18,350.0
19,0.0
20,350.0
21,0.0
22,350.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,700.0
10,700.0
11,1050.0
12,1050.0
13,350.0
14,350.0
15,350.0
16,700.0
17,1050.0
18,350.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,350.0
6,0.0
7,0.0
8,350.0
9,700.0
10,0.0
11,1050.0
12,700.0
13,700.0
14,350.0
15,350.0
16,350.0
17,1400.0
18,700.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,1050.0
10,700.0
11,350.0
12,0.0
13,0.0
14,1050.0
15,700.0
16,700.0
17,350.0
18,350.0
19,0.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,1050.0
10,1050.0
11,350.0
12,700.0
13,0.0
14,350.0
15,700.0
16,1050.0
17,350.0
18,350.0
19,0.0
20,0.0
21,0.0
22,350.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,1050.0
11,350.0
12,350.0
13,700.0
14,1050.0
15,350.0
16,350.0
17,700.0
18,700.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,700.0
9,350.0
10,350.0
11,350.0
12,350.0
13,350.0
14,1050.0
15,700.0
16,350.0
17,350.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,1050.0
10,350.0
11,1050.0
12,0.0
13,350.0
14,0.0
15,350.0
16,700.0
17,1050.0
18,350.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,350.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,1400.0
10,700.0
11,700.0
12,700.0
13,350.0
14,1400.0
15,0.0
16,700.0
17,700.0
18,0.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,700.0
10,0.0
11,1050.0
12,0.0
13,700.0
14,1400.0
15,700.0
16,1400.0
17,700.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,1050.0
10,350.0
11,700.0
12,350.0
13,350.0
14,0.0
15,350.0
16,700.0
17,1400.0
18,350.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,700.0
10,700.0
11,1050.0
12,0.0
13,350.0
14,700.0
15,1050.0
16,1050.0
17,1050.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,350.0
9,350.0
10,700.0
11,350.0
12,0.0
13,1400.0
14,0.0
15,350.0
16,700.0
17,700.0
18,700.0
19,0.0
20,350.0
21,0.0
22,0.0
23,0.0
0,350.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,700.0
10,350.0
11,1050.0
12,700.0
13,700.0
14,350.0
15,700.0
16,350.0
17,1400.0
18,350.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,350.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,700.0
9,350.0
10,350.0
11,700.0
12,350.0
13,350.0
14,700.0
15,350.0
16,1400.0
17,350.0
18,700.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,1050.0
10,1050.0
11,350.0
12,350.0
13,350.0
14,700.0
15,350.0
16,700.0
17,1050.0
18,0.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,350.0
10,1400.0
11,700.0
12,0.0
13,350.0
14,1050.0
15,1050.0
16,350.0
17,700.0
18,1050.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,350.0
9,350.0
10,700.0
11,700.0
12,700.0
13,700.0
14,700.0
15,350.0
16,350.0
17,350.0
18,0.0
19,350.0
20,0.0
21,350.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,700.0
9,700.0
10,0.0
11,1050.0
12,1050.0
13,350.0
14,700.0
15,1050.0
16,700.0
17,1050.0
18,0.0
19,0.0
20,0.0
21,0.0
22,350.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,350.0
8,700.0
9,700.0
10,700.0
11,700.0
12,350.0
13,0.0
14,1050.0
15,350.0
16,350.0
17,700.0
18,0.0
19,350.0
20,0.0
21,0.0
22,0.0
23,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,350.0
5,0.0
